review_id,user_id,product_id,order_id,rating,review_text,review_date,is_verified_purchase
1,5600,2686,13222,5,包装精美，舒适度很棒，会回购的。,2026-05-09,True
2,5232,887,3937,2,跟图片不一样，色差问题严重不符描述。,2026-06-21,True
3,4916,3666,34710,5,非常好用，颜色很出色，推荐购买！,2025-10-11,True
4,6275,1470,24302,4,品牌就是品牌，外观设计确实不一样。,2026-01-30,True
5,11443,4587,25158,5,用了一段时间了，舒适度表现稳定。,2026-01-07,True
6,2798,4046,26140,4,品牌就是品牌，做工确实不一样。,2026-01-14,True
7,4124,2943,51500,3,没什么特别的，日常使用正常水平。,2024-08-19,True
8,2698,1293,35917,3,凑合能用，日常使用有待改进。,2025-09-04,True
9,3083,3991,32829,4,用了一段时间了，品质表现稳定。,2025-10-19,True
10,740,2166,51414,4,质量很好，效果超出预期，物流也快。,2025-07-08,True
11,11796,3842,51004,1,性价比不高，质感不值这个价。,2025-02-28,True
12,1045,3669,41712,2,有色差/尺寸偏差，精确度不够精确。,2025-06-10,True
13,7371,3399,24752,4,品牌就是品牌，外观设计确实不一样。,2026-01-31,True
14,179,2049,25546,5,质量很好，品质超出预期，物流也快。,2026-01-12,True
15,10834,3505,47324,5,很满意的一次购物，效果令人惊喜。,2026-02-05,True
16,8991,814,15897,5,朋友推荐的，果然不错，效果很满意。,2026-03-22,True
17,9711,1708,8713,5,性价比很高，颜色完全满足需求。,2026-06-02,False
18,1895,611,50809,5,非常好用，效果很出色，推荐购买！,2024-10-06,True
19,3511,2658,46613,5,第二次购买了，效果一如既往地好。,2025-02-18,True
20,7462,2246,52421,4,品牌就是品牌，性能确实不一样。,2024-07-03,True
21,6810,3898,14447,5,朋友推荐的，果然不错，功能很满意。,2026-04-25,True
22,2355,4976,43219,3,没什么特别的，综合感受正常水平。,2025-05-05,True
23,11685,2322,10489,2,性价比不高，精确度不值这个价。,2026-05-07,True
24,5417,3064,22404,4,品牌就是品牌，效果确实不一样。,2026-01-28,True
25,2021,884,16948,5,比实体店便宜，舒适度品质也没话说。,2026-03-26,False
26,3490,1239,31830,3,没什么特别的，日常使用正常水平。,2025-11-10,True
27,5474,3032,33703,5,品牌就是品牌，材质确实不一样。,2025-10-22,True
